country,index,latest quarter
Czech Republic,153.946,2021q4
New Zealand,152.392,2021q4
Portugal,143.903,2021q4
Netherlands,141.059,2021q4
Luxembourg,140.086,2021q4
Iceland,139.756,2021q4
Germany,137.182,2021q4
Canada,133.704,2021q4
Hungary,132.804,2021q4
Slovak Republic,131.488,2021q4
Austria,127.281,2021q4
United States,126.006,2021q4
Latvia,117.947,2021q4
Spain,116.753,2021q4
Mexico,116.589,2021q4
Slovenia,116.098,2021q4
Chile,115.619,2021q4
Japan,114.443,2021q4
Hong Kong,113.687,2021q4
Switzerland,113.631,2021q4
United Kingdom,113.047,2021q4
Australia,112.602,2021q4
France,111.338,2021q4
Colombia,111.211,2021q4
Malta,111.069,2021q4
Sweden,110.433,2021q4
Greece,109.951,2021q4
Denmark,109.328,2021q4
Lithuania,108.935,2021q4
Croatia,107.702,2021q4
South Korea,106.187,2021q4
Poland,106.104,2021q4
Israel,105.519,2021q4
Belgium,104.803,2021q4
Estonia,104.367,2021q4
Bulgaria,99.682,2021q4
Ireland,99.531,2021q4
South Africa,96.639,2021q4
Thailand,96.406,2021q4
Singapore,93.64,2021q4
Italy,93.272,2021q4
Philippines,92.833,2021q4
Macedonia,92.561,2021q4
Finland,92.106,2021q4
Malaysia,91.418,2021q4
Turkey,89.994,2021q4
Morocco,89.07,2021q4
Norway,87.121,2021q4
Brazil,84.713,2021q4
Cyprus,84.711,2021q4
Serbia,84.459,2021q4
China,82.677,2021q4
Indonesia,79.741,2021q4
Romania,77.996,2021q4
Russia,76.94,2021q4
United Arab Emirates,76.541,2021q4
Peru,75.585,2021q4
India,75.002,2021q4
