country,index_price_rent,latest quarter
Czech Republic,169.808,2021q4
Turkey,169.764,2021q4
Luxembourg,166.283,2021q4
New Zealand,164.407,2021q4
Hungary,162.786,2021q4
Latvia,158.217,2021q4
Portugal,154.81,2021q4
Netherlands,153.544,2021q4
Germany,149.002,2021q4
Canada,148.556,2021q4
Slovak Republic,148.237,2021q4
Iceland,145.101,2021q4
Australia,141.911,2021q4
Bulgaria,137.802,2021q4
Mexico,137.116,2021q4
Chile,132.48,2021q4
Croatia,132.054,2021q4
Singapore,131.912,2021q4
Lithuania,131.544,2021q4
Greece,131.074,2021q4
United States,129.516,2021q4
Spain,128.821,2021q4
Austria,128.572,2021q4
Sweden,128.14,2021q4
Malta,126.085,2021q4
South Korea,125.731,2021q4
United Kingdom,125.413,2021q4
France,125.015,2021q4
Denmark,124.435,2021q4
China,122.934,2021q4
Slovenia,122.609,2021q4
Colombia,122.557,2021q4
Israel,122.125,2021q4
Poland,121.53,2021q4
Estonia,120.747,2021q4
Romania,120.371,2021q4
Norway,120.152,2021q4
Philippines,119.129,2021q4
Macedonia,118.563,2021q4
Hong Kong,118.527,2021q4
Belgium,117.935,2021q4
Japan,117.385,2021q4
Thailand,116.088,2021q4
Switzerland,115.635,2021q4
Ireland,111.912,2021q4
Serbia,111.456,2021q4
Malaysia,110.408,2021q4
Indonesia,104.58,2021q4
South Africa,103.623,2021q4
Italy,102.371,2021q4
Finland,100.32,2021q4
India,99.397,2021q4
Brazil,94.852,2021q4
Morocco,94.808,2021q4
United Arab Emirates,92.502,2021q4
Cyprus,90.286,2021q4
Russia,76.157,2021q4
Russia,70.719,2021q2
